"Station.ID","UTMX","UTMY"
IT1997A,1047.489,4245.465
IT1999A,486.500,4919.359
IT2003A,1110.042,4599.595
IT2004A,774.612,4777.942
IT2005A,541.395,4530.825
IT2006A,458.653,4335.258
IT2007A,517.309,5072.900
IT2008A,466.250,4415.099
IT2009A,464.202,4508.254
IT2010A,449.856,4520.210
IT2012A,777.634,4641.288
IT2013A,862.238,4618.908
IT2014A,522.148,5095.846
IT2018A,1227.776,4521.892
IT2019A,1047.031,4609.886
IT2021A,1187.097,4525.239
IT2022A,514.680,4934.615
IT2023A,735.460,4735.575
IT2026A,1117.720,4273.923
IT2027A,758.859,4868.877
IT2028A,1082.348,4238.332
IT2029A,401.437,4852.612
IT2030A,971.159,4114.216
IT2032A,673.244,4815.547
IT2033A,1010.983,4101.066
IT2036A,1009.181,4101.984
IT2038A,436.353,4878.021
IT2039A,517.742,4910.964
IT2040A,516.231,4342.626
IT2044A,1279.816,4507.444
IT2049A,500.982,4348.558
IT2051A,1161.041,4577.215
IT2052A,1037.563,4171.002
IT2055A,463.612,4507.394
IT2056A,509.925,4342.954
IT2058A,1158.729,4583.477
IT2060A,438.874,4517.826
IT2061A,792.869,4848.376
IT2062A,547.904,5054.666
IT2063A,573.917,4999.859
IT2064A,793.082,4797.567
IT2066A,788.264,4806.756
IT2067A,793.434,4802.466
IT2068A,800.099,4738.835
IT2070A,730.189,5029.093
IT2072A,700.878,4997.663
IT2073A,642.316,4933.351
IT2074A,529.053,4953.548
IT2075A,681.742,4929.951
IT2076A,793.276,4861.007
IT2079A,487.914,5016.783
IT2086A,1124.537,4379.488
IT2087A,1132.419,4337.679
IT2088A,1203.065,4357.159
IT2089A,1157.459,4335.116
IT2091A,1160.444,4329.846
IT2092A,1117.792,4304.784
IT2093A,1116.320,4303.415
IT2094A,1132.170,4274.050
IT2095A,584.112,4995.675
IT2096A,679.704,5152.176
IT2097A,654.036,4890.337
IT2098A,521.533,5049.890
IT2099A,791.601,4745.300
IT2100A,760.747,4780.581
IT2101A,408.382,4983.919
IT2102A,454.674,5082.970
IT2104A,434.549,5057.082
IT2105A,762.601,4816.679
IT2108A,444.128,4913.757
IT2109A,780.767,4716.731
IT2110A,1135.541,4397.247
IT2111A,1125.865,4350.066
IT2112A,1192.249,4368.273
IT2113A,756.762,4736.407
IT2114A,787.387,4807.739
IT2115A,804.767,5085.650
IT2116A,424.993,5016.145
IT2117A,398.766,5003.343
IT2118A,405.605,4917.185
IT2119A,375.357,4953.018
IT2121A,457.829,5059.681
IT2128A,445.312,5108.468
IT2129A,851.370,5082.354
IT2130A,852.764,5086.647
IT2131A,849.056,5074.025
IT2132A,849.547,5085.733
IT2133A,843.731,5081.290
