"UTMX","UTMY"
1160.279,4583.045
1160.495,4583.147
1160.873,4583.785
1160.870,4583.862
1160.855,4584.245
1160.460,4584.564
1160.445,4584.573
1160.376,4584.581
1160.297,4584.581
1160.180,4584.579
1159.634,4584.565
1159.487,4584.583
1160.149,4584.601
1160.393,4584.607
1160.445,4584.607
1160.477,4584.607
1160.546,4584.597
1160.573,4584.592
1160.579,4584.590
1160.650,4584.568
1160.674,4584.557
1160.697,4584.546
1160.727,4584.532
1160.755,4584.518
1160.793,4584.493
1160.818,4584.474
1160.874,4584.419
1160.892,4584.399
1160.916,4584.368
1160.929,4584.350
1160.937,4584.335
1160.951,4584.308
1160.956,4584.296
1160.972,4584.243
1160.985,4584.160
1160.991,4584.090
1161.005,4583.832
1161.006,4583.818
1161.005,4583.799
1160.998,4583.662
1160.996,4583.629
1160.994,4583.618
1160.987,4583.597
1160.981,4583.586
1160.975,4583.552
1160.972,4583.243
1160.974,4583.232
1160.977,4583.214
1161.121,4582.718
1161.126,4582.707
1161.521,4582.470
1161.583,4582.433
1161.692,4582.390
1161.709,4582.384
1161.729,4582.377
1162.690,4582.053
1162.891,4582.000
1164.904,4581.544
1165.963,4581.573
1165.985,4581.567
1166.026,4581.555
1166.140,4581.435
1166.872,4580.973
1167.727,4580.653
1168.802,4580.271
1169.749,4580.166
1170.570,4580.090
1170.641,4580.080
1170.868,4580.039
1170.896,4580.018
1171.241,4579.845
1172.012,4579.473
1172.942,4579.284
1173.248,4579.258
1173.560,4579.241
1173.572,4579.245
1173.666,4579.276
1173.717,4579.301
1173.728,4579.302
1174.845,4579.178
1175.047,4579.117
1175.080,4579.093
1176.182,4578.989
1176.201,4578.986
1176.910,4578.788
1177.126,4578.703
1177.230,4578.626
1177.236,4578.599
1177.249,4578.572
1177.259,4578.555
1177.302,4578.500
1177.315,4578.489
1177.332,4578.481
1177.772,4578.278
1178.001,4578.187
1179.003,4577.833
1180.352,4577.357
1180.325,4577.249
1180.370,4577.187
1180.596,4576.978
1184.723,4574.917
1184.738,4574.911
1184.921,4574.903
1184.953,4574.826
1185.341,4574.738
1186.530,4574.396
1186.544,4574.387
1186.679,4574.398
1186.702,4574.406
1187.023,4574.452
1187.415,4574.365
1187.560,4574.317
1187.583,4574.307
1187.636,4574.268
1188.121,4573.882
1188.294,4573.744
1189.391,4572.813
1189.930,4572.324
1189.981,4572.264
1190.100,4571.981
1190.000,4571.970
1189.953,4571.949
1190.003,4571.805
1190.058,4571.689
1190.168,4571.609
1190.193,4571.598
1190.892,4571.331
1190.921,4571.328
1191.045,4571.353
1192.379,4571.013
1193.151,4570.799
1193.475,4570.520
1193.614,4570.340
1193.729,4570.245
1194.087,4570.020
1194.507,4569.813
1194.857,4569.663
1195.074,4569.333
1195.337,4569.369
1195.445,4569.162
1195.593,4568.920
1195.738,4568.814
1195.873,4568.828
1195.944,4568.869
1195.994,4568.956
1196.075,4569.060
1196.276,4569.059
1196.923,4568.749
1197.173,4568.578
1197.243,4568.526
1197.254,4568.517
1197.298,4568.453
1197.296,4568.432
1197.268,4568.339
1197.274,4568.178
1197.788,4567.873
1198.323,4567.613
1199.456,4566.813
1199.962,4566.168
1200.444,4565.698
1200.893,4565.358
1201.060,4565.315
1201.176,4565.271
1201.256,4565.241
1201.318,4565.216
1201.337,4565.203
1201.352,4565.190
1201.453,4565.092
1202.031,4564.444
1202.886,4563.251
1202.940,4563.165
1202.951,4563.148
1203.021,4563.034
1203.173,4562.779
1203.215,4562.633
1203.214,4562.617
1203.205,4562.601
1203.177,4562.585
1203.159,4562.577
1203.137,4562.561
1203.118,4562.540
1203.101,4562.510
1203.113,4562.484
1203.123,4562.466
1203.162,4562.422
1203.344,4562.231
1203.610,4561.995
1203.942,4561.818
1204.031,4561.772
1204.064,4561.756
1204.093,4561.743
1204.339,4561.649
1204.994,4561.406
1206.227,4561.061
1206.321,4561.076
1206.478,4561.091
1206.511,4561.089
1206.536,4561.084
1206.671,4561.039
1206.693,4561.031
1206.899,4560.921
1206.948,4560.894
1207.053,4560.813
1207.213,4560.618
1207.237,4560.621
1207.261,4560.616
1207.735,4560.227
1209.074,4559.001
1209.446,4558.624
1210.992,4557.594
1211.688,4557.323
1211.865,4557.263
1212.720,4556.857
1213.255,4556.584
1213.791,4556.106
1214.294,4555.596
1214.289,4555.585
1214.282,4555.490
1214.282,4555.445
1214.285,4555.410
1214.292,4555.360
1214.307,4555.310
1214.329,4555.265
1214.427,4555.121
1214.492,4555.046
1214.565,4554.979
1214.675,4554.887
1214.756,4554.823
1214.874,4554.764
1215.263,4554.577
1216.657,4553.939
1217.525,4553.585
1218.514,4553.189
1219.730,4552.773
1219.866,4552.738
1221.143,4552.323
1221.281,4552.267
1221.561,4552.136
1221.655,4552.066
1221.650,4552.059
1221.661,4552.019
1221.681,4551.998
1221.711,4551.974
1221.740,4551.960
1221.776,4551.947
1222.214,4551.814
1222.444,4551.752
1222.808,4551.726
1223.002,4551.787
1223.012,4551.793
1223.037,4551.792
1224.546,4551.407
1224.568,4551.400
1225.127,4551.207
1225.487,4551.049
1227.068,4550.772
1228.062,4550.641
1228.921,4550.443
1228.954,4550.435
1230.179,4550.072
1231.880,4549.569
1231.943,4549.554
1232.496,4549.433
1232.694,4549.457
1232.768,4549.383
1233.085,4549.338
1233.103,4549.335
1235.376,4548.548
1235.417,4548.532
1235.500,4548.496
1236.764,4547.878
1237.644,4547.290
1238.164,4546.897
1238.623,4546.467
1238.660,4546.405
1238.727,4546.332
1238.948,4546.172
1239.044,4546.122
1240.936,4545.189
1241.559,4544.894
1241.594,4544.880
1243.454,4544.371
1243.446,4544.325
1243.444,4544.285
1243.455,4544.229
1243.462,4544.197
1243.488,4544.133
1243.524,4544.072
1243.553,4544.029
1243.642,4543.937
1243.772,4543.852
1243.877,4543.798
1244.455,4543.466
1244.946,4543.222
1246.304,4542.560
1247.234,4542.225
1247.401,4542.185
1247.683,4542.135
1249.318,4541.982
1250.288,4541.820
1250.314,4541.817
1251.335,4541.764
1252.125,4541.726
1253.237,4541.756
1254.703,4541.665
1254.738,4541.665
1254.756,4541.665
1254.791,4541.668
1254.891,4541.681
1254.937,4541.691
1255.010,4541.709
1255.112,4541.737
1255.187,4541.766
1255.330,4541.837
1255.422,4541.907
1255.427,4541.917
1255.459,4542.000
1255.481,4542.060
1255.490,4542.087
1255.495,4542.115
1255.496,4542.145
1255.492,4542.155
1255.440,4542.202
1255.390,4542.242
1255.326,4542.285
1255.318,4542.300
1255.321,4542.328
1255.343,4542.435
