"Station.ID","Date","Data","ENS","UTMX","UTMY","WS","T2","PBL00","PBL12","TP","POP","ALT","Imperviousness","Builtup","roads","highways","HUD","LUD","Agriculture","Forests"
IT0892A,"01/01/2022",NA,47.64,687.272,4928.255,1.9,279.8,34.0,120.8,0.00,319291.2,71.0,3.084e+01,2.713e-01,5.551e+04,3.361e+04,4.247e-01,1.463e-01,1.456e-01,5.330e-02
IT0895A,"01/01/2022",NA,52.88,753.645,4924.420,2.0,279.8,94.9,181.4,0.01,84055.2,1.0,1.920e+01,1.457e-01,1.646e+04,2.191e+04,1.655e-01,1.380e-01,6.393e-01,2.011e-03
IT0897A,"01/01/2022",NA,43.04,940.809,4534.661,1.0,287.7,47.0,405.9,0.01,616801.8,180.0,4.606e+01,3.625e-01,3.946e+04,3.042e+04,4.202e-01,1.256e-01,1.802e-02,7.081e-02
IT0898A,"01/01/2022",NA,46.51,942.707,4535.862,1.2,287.9,29.2,432.8,0.01,637277.4,46.0,5.455e+01,3.969e-01,5.622e+04,4.617e+04,4.508e-01,1.826e-01,2.882e-03,3.858e-02
IT0903A,"01/01/2022",NA,41.88,637.803,4930.661,0.7,283.8,31.9,86.9,0.00,34141.9,163.0,7.570e+00,6.867e-02,1.126e+04,0.000e+00,7.951e-02,5.010e-02,2.984e-01,3.018e-01
IT0906A,"01/01/2022",NA,26.85,567.206,5112.996,0.8,283.4,19.2,65.8,0.00,32170.3,302.0,5.573e+00,0.000e+00,5.831e+03,5.298e+03,6.172e-02,2.268e-02,1.183e-01,6.114e-01
IT0908A,"01/01/2022",NA,9.46,605.371,5147.216,1.5,271.8,60.8,27.2,0.00,10789.4,1219.0,3.280e+00,2.901e-02,1.252e+04,2.735e+03,3.947e-02,5.113e-02,1.511e-01,7.182e-01
IT0912A,"01/01/2022",28.70,47.58,512.939,5004.503,1.8,280.2,116.0,96.7,0.00,78984.9,74.0,1.544e+01,1.064e-01,1.369e+04,2.336e+04,1.720e-01,5.997e-02,6.063e-01,7.031e-02
IT0934A,"01/01/2022",NA,42.10,986.039,4569.533,0.5,286.5,25.5,188.7,0.00,57997.7,152.0,9.211e+00,5.274e-02,7.656e+03,3.869e+04,1.242e-01,3.231e-02,4.994e-01,3.351e-02
IT0935A,"01/01/2022",NA,34.29,986.975,4546.372,0.6,287.8,24.3,424.8,0.00,91183.0,374.0,1.359e+01,8.047e-02,1.046e+04,3.265e+04,2.110e-01,2.066e-02,3.196e-01,1.431e-01
IT0936A,"01/01/2022",NA,34.21,987.323,4545.373,0.5,287.8,24.3,425.1,0.00,91954.9,354.0,1.346e+01,7.829e-02,1.084e+04,3.250e+04,2.081e-01,1.994e-02,3.373e-01,1.262e-01
IT0937A,"01/01/2022",NA,41.76,986.011,4568.624,0.6,286.5,25.2,191.2,0.00,60129.3,155.0,9.221e+00,5.349e-02,7.972e+03,3.527e+04,1.331e-01,2.476e-02,4.441e-01,4.511e-02
IT0938A,"01/01/2022",NA,34.30,991.070,4518.006,1.0,287.7,28.7,404.5,0.00,131447.8,31.0,2.068e+01,1.347e-01,1.645e+04,5.011e+04,1.767e-01,3.922e-02,1.981e-02,1.337e-01
IT0940A,"01/01/2022",NA,55.04,631.909,4949.955,0.9,280.5,28.5,133.8,0.00,108641.8,48.0,1.825e+01,1.650e-01,2.938e+04,3.249e+04,2.180e-01,1.142e-01,5.263e-01,0.000e+00
IT0945A,"01/01/2022",NA,45.89,669.145,4860.113,0.6,281.6,47.3,94.4,0.08,179743.8,57.0,3.194e+01,2.668e-01,1.838e+04,3.373e+04,2.511e-01,2.082e-01,2.799e-01,2.055e-01
IT0948A,"01/01/2022",NA,40.46,681.037,4848.262,0.6,283.0,58.4,147.8,0.04,331754.4,59.0,2.847e+01,2.687e-01,6.315e+04,2.013e+04,4.433e-01,8.601e-02,2.670e-01,3.270e-03
IT0950A,"01/01/2022",NA,39.53,733.706,4816.077,0.9,282.3,21.3,239.9,0.01,71534.3,262.0,1.104e+01,8.227e-02,2.589e+04,0.000e+00,1.323e-01,6.287e-02,3.383e-01,1.988e-01
IT0952A,"01/01/2022",NA,32.37,770.993,4642.663,1.4,286.8,16.8,234.8,0.00,7421.9,67.0,2.538e+00,1.491e-02,0.000e+00,3.864e+04,3.124e-02,8.049e-03,6.430e-01,1.169e-01
IT0953A,"01/01/2022",NA,28.19,790.762,4648.276,0.9,287.2,60.9,311.8,0.00,528844.9,50.0,4.522e+01,3.466e-01,8.749e+04,3.339e+04,5.839e-01,2.397e-01,7.894e-02,0.000e+00
IT0956A,"01/01/2022",NA,35.60,796.226,4640.139,1.3,286.7,56.0,248.3,0.00,496771.6,50.0,3.885e+01,2.801e-01,5.172e+04,2.685e+04,5.085e-01,8.889e-02,3.076e-01,0.000e+00
