"Date","Station.ID","Data","ENS","Estimated","Q0","Q1","Q3","Q4"
"28/06/2022","IT1583A","51.33","62.72","57.0088220671337","47.8690600097307","53.6817582650442","60.5420891289695","67.8936622699808"
"28/06/2022","IT1603A","33.1","44.18","44.9351618369885","36.8047090441225","41.9523015437149","48.1301071697423","54.8616962817369"
"28/06/2022","IT1646A","45.32","38.08","41.5986344994524","35.6450154152822","39.4452298340605","43.8695984152896","48.5466585456192"
"28/06/2022","IT1660A","34","48.68","36.7542074840316","31.2518987199789","34.7591780096021","38.8637431934114","43.2252702430413"
"28/06/2022","IT1661A",NA,"46.54","49.594885211203","41.0447888593416","46.4682555623087","52.9318910156695","59.9260638796685"
"28/06/2022","IT1678A",NA,"33.52","28.0244824791005","22.8082741197094","26.1069716315867","30.0828311036733","34.4336276431695"
"28/06/2022","IT1679A",NA,"50","39.2307902064868","32.7359847382809","36.8618881392803","41.751928018721","47.014162321063"
"28/06/2022","IT1694A","107.81","62.31","58.9619502002772","47.0299841728998","54.5480130390795","63.7330560313775","73.9211724724169"
"28/06/2022","IT1766A","23.81","56.52","71.816604665573","43.2349684415732","60.3088889593347","85.5201413040274","119.292898586502"
"28/06/2022","IT1771A","36","41.96","42.6130068345445","36.1297743977924","40.260181573589","45.1033323871585","50.2596094702404"
"28/06/2022","IT1801A",NA,"52.41","42.663846995246","25.8631909860686","35.9131037144937","50.6835570354553","70.3781618213402"
"28/06/2022","IT1865A","42.39","39.95","45.1095883586872","38.2521245189425","42.6210661915441","47.7434082184909","53.1963907228875"
"28/06/2022","IT1873A","27.63","26.55","26.3085105100607","22.2466334439321","24.8331793318515","27.8714906379396","31.1120209267779"
"28/06/2022","IT1886A","48.45","47.56","53.5853605990205","44.355569503964","50.2103751190886","57.1872021214086","64.7357457617684"
"28/06/2022","IT1942A",NA,"58.04","64.124687313421","38.494246933147","53.7966327824683","76.4355557283888","106.820521263484"
"28/06/2022","IT1989A",NA,"58.72","61.9685578059029","48.2414373439109","56.8520917464281","67.5454858138055","79.6017359343509"
"28/06/2022","IT1993A",NA,"44.06","44.5169970515686","21.3256904340649","34.5567493288753","57.3480742540048","92.9284344915638"
