"id","UTMX","UTMY"
NA,794.818,3908.558
NA,798.818,3908.558
NA,802.818,3908.558
NA,806.818,3908.558
NA,810.818,3908.558
NA,814.818,3908.558
NA,818.818,3908.558
NA,822.818,3908.558
NA,826.818,3908.558
NA,830.818,3908.558
NA,834.818,3908.558
NA,838.818,3908.558
NA,842.818,3908.558
NA,846.818,3908.558
NA,850.818,3908.558
NA,854.818,3908.558
NA,858.818,3908.558
NA,862.818,3908.558
NA,866.818,3908.558
NA,870.818,3908.558
NA,874.818,3908.558
NA,878.818,3908.558
NA,882.818,3908.558
NA,886.818,3908.558
NA,890.818,3908.558
NA,894.818,3908.558
NA,898.818,3908.558
NA,902.818,3908.558
NA,906.818,3908.558
NA,910.818,3908.558
NA,914.818,3908.558
NA,918.818,3908.558
NA,922.818,3908.558
NA,926.818,3908.558
NA,930.818,3908.558
NA,934.818,3908.558
NA,938.818,3908.558
NA,942.818,3908.558
NA,946.818,3908.558
NA,950.818,3908.558
NA,954.818,3908.558
NA,958.818,3908.558
NA,962.818,3908.558
NA,966.818,3908.558
NA,970.818,3908.558
NA,974.818,3908.558
NA,978.818,3908.558
NA,982.818,3908.558
NA,986.818,3908.558
NA,990.818,3908.558
NA,994.818,3908.558
NA,998.818,3908.558
NA,1002.818,3908.558
NA,1006.818,3908.558
NA,1010.818,3908.558
NA,1014.818,3908.558
NA,1018.818,3908.558
NA,1022.818,3908.558
NA,1026.818,3908.558
NA,1030.818,3908.558
NA,1034.818,3908.558
NA,1038.818,3908.558
NA,1042.818,3908.558
NA,1046.818,3908.558
NA,1050.818,3908.558
NA,1054.818,3908.558
NA,1058.818,3908.558
NA,1062.818,3908.558
NA,1066.818,3908.558
NA,1070.818,3908.558
NA,1074.818,3908.558
NA,1078.818,3908.558
NA,1082.818,3908.558
NA,1086.818,3908.558
NA,1090.818,3908.558
NA,1094.818,3908.558
NA,1098.818,3908.558
NA,1102.818,3908.558
NA,1106.818,3908.558
NA,1110.818,3908.558
NA,1114.818,3908.558
NA,1118.818,3908.558
NA,1122.818,3908.558
NA,1126.818,3908.558
NA,1130.818,3908.558
NA,1134.818,3908.558
NA,1138.818,3908.558
NA,1142.818,3908.558
NA,1146.818,3908.558
NA,1150.818,3908.558
NA,1154.818,3908.558
NA,1158.818,3908.558
NA,1162.818,3908.558
NA,1166.818,3908.558
NA,1170.818,3908.558
NA,1174.818,3908.558
NA,1178.818,3908.558
NA,1182.818,3908.558
NA,1186.818,3908.558
NA,1190.818,3908.558
NA,1194.818,3908.558
NA,1198.818,3908.558
NA,1202.818,3908.558
NA,1206.818,3908.558
NA,1210.818,3908.558
NA,1214.818,3908.558
NA,1218.818,3908.558
NA,1222.818,3908.558
NA,1226.818,3908.558
NA,1230.818,3908.558
NA,1234.818,3908.558
NA,1238.818,3908.558
NA,1242.818,3908.558
NA,1246.818,3908.558
NA,1250.818,3908.558
NA,1254.818,3908.558
NA,1258.818,3908.558
NA,1262.818,3908.558
NA,1266.818,3908.558
NA,1270.818,3908.558
NA,1274.818,3908.558
NA,1278.818,3908.558
NA,1282.818,3908.558
NA,1286.818,3908.558
NA,1290.818,3908.558
NA,1294.818,3908.558
NA,1298.818,3908.558
NA,1302.818,3908.558
NA,1306.818,3908.558
NA,1310.818,3908.558
NA,1314.818,3908.558
NA,1318.818,3908.558
NA,1322.818,3908.558
NA,1326.818,3908.558
NA,1330.818,3908.558
NA,1334.818,3908.558
NA,1338.818,3908.558
NA,1342.818,3908.558
NA,1346.818,3908.558
NA,1350.818,3908.558
NA,1354.818,3908.558
NA,1358.818,3908.558
NA,1362.818,3908.558
NA,1366.818,3908.558
NA,1370.818,3908.558
NA,1374.818,3908.558
NA,1378.818,3908.558
NA,1382.818,3908.558
NA,1386.818,3908.558
NA,1390.818,3908.558
NA,1394.818,3908.558
NA,1398.818,3908.558
NA,1402.818,3908.558
NA,1406.818,3908.558
NA,1410.818,3908.558
NA,1414.818,3908.558
NA,1418.818,3908.558
NA,1422.818,3908.558
NA,1426.818,3908.558
NA,1430.818,3908.558
NA,1434.818,3908.558
NA,1438.818,3908.558
NA,1442.818,3908.558
NA,1446.818,3908.558
NA,1450.818,3908.558
NA,1454.818,3908.558
NA,1458.818,3908.558
NA,1462.818,3908.558
NA,1466.818,3908.558
NA,1470.818,3908.558
